_id,id,fees.coin,fees.name,fees.min_withdrawal,fees.withdrawal_fee
5d52e7047c1ce45855d99f47,binance,BNB,Binance Coin,0.1,0.001
5d52e7047c1ce45855d99f47,binance,BCHSV,Bitcoin Cash SV,0.0001,0.0001
5d52e7047c1ce45855d99f47,binance,BTC,Bitcoin,0.002,0.0005
5d52e7047c1ce45855d99f47,binance,FTM,Fantom,20.2,10.1
5d52e7047c1ce45855d99f47,binance,NEO,NEO,1,0
5d52e7047c1ce45855d99f47,binance,ETH,Ethereum,0.02,0.01
5d52e7047c1ce45855d99f47,binance,LTC,Litecoin,0.002,0.001
5d52e7047c1ce45855d99f47,binance,QTUM,Qtum,0.02,0.01
5d52e7047c1ce45855d99f47,binance,EOS,EOS,0.2,0.1
5d52e7047c1ce45855d99f47,binance,SNT,Status,130,65
5d52e7047c1ce45855d99f47,binance,BNT,Bancor,5.8,2.9
5d52e7047c1ce45855d99f47,binance,GAS,NeoGas,0.001,0
5d52e7047c1ce45855d99f47,binance,BTM,Bytom,5,5
5d52e7047c1ce45855d99f47,binance,USDT,TetherUS,2.6,1.3
5d52e7047c1ce45855d99f47,binance,HCC,HealthCare Chain,0.0005,0.0005
5d52e7047c1ce45855d99f47,binance,OAX,openANX,32,16
5d52e7047c1ce45855d99f47,binance,DNT,district0x,358,179
5d52e7047c1ce45855d99f47,binance,MCO,Crypto.com,0.66,0.33
5d52e7047c1ce45855d99f47,binance,ICN,ICONOMI,3.4,3.4
5d52e7047c1ce45855d99f47,binance,ZRX,0x,13.6,6.8
5d52e7047c1ce45855d99f47,binance,OMG,OmiseGO,1.84,0.92
5d52e7047c1ce45855d99f47,binance,WTC,Walton,1.8,0.9
5d52e7047c1ce45855d99f47,binance,LRC,Loopring,70.6,35.3
5d52e7047c1ce45855d99f47,binance,LLT,LLToken,67.8,67.8
5d52e7047c1ce45855d99f47,binance,YOYO,YOYOW,10,1
5d52e7047c1ce45855d99f47,binance,TRX,TRON,10,1
5d52e7047c1ce45855d99f47,binance,STRAT,Stratis,0.002,0.1
5d52e7047c1ce45855d99f47,binance,SNGLS,Breaker,330,165
5d52e7047c1ce45855d99f47,binance,BQX,ETHOS,26.8,13.4
5d52e7047c1ce45855d99f47,binance,KNC,KyberNetwork,15.6,7.8
5d52e7047c1ce45855d99f47,binance,SNM,SONM,252,126
5d52e7047c1ce45855d99f47,binance,FUN,FunFair,1126,563
5d52e7047c1ce45855d99f47,binance,LINK,ChainLink,1.2,0.6
5d52e7047c1ce45855d99f47,binance,XVG,Verge,0.2,0.1
5d52e7047c1ce45855d99f47,binance,CTR,Centra,35,35
5d52e7047c1ce45855d99f47,binance,SALT,Salt,5.2,5.2
5d52e7047c1ce45855d99f47,binance,MDA,Moeda Loyalty Points,4.2,2.1
5d52e7047c1ce45855d99f47,binance,IOTA,MIOTA,10,0.5
5d52e7047c1ce45855d99f47,binance,SUB,Substratum,40,40
5d52e7047c1ce45855d99f47,binance,ETC,Ethereum Classic,0.02,0.01
5d52e7047c1ce45855d99f47,binance,MTL,Metal,9.2,4.6
5d52e7047c1ce45855d99f47,binance,MTH,Monetha,202,101
5d52e7047c1ce45855d99f47,binance,ENG,Enigma,6.2,3.1
5d52e7047c1ce45855d99f47,binance,AST,AirSwap,87,43.5
5d52e7047c1ce45855d99f47,binance,DASH,Dash,0.004,0.002
5d52e7047c1ce45855d99f47,binance,BTG,Bitcoin Gold,0.002,0.001
5d52e7047c1ce45855d99f47,binance,EVX,Everex,5.2,2.6
5d52e7047c1ce45855d99f47,binance,REQ,Request Network,208.2,104.1
5d52e7047c1ce45855d99f47,binance,VIB,Viberate,146,73
5d52e7047c1ce45855d99f47,binance,POWR,PowerLedger,40.2,20.1
5d52e7047c1ce45855d99f47,binance,ARK,Ark,0.4,0.2
5d52e7047c1ce45855d99f47,binance,XRP,Ripple,22,0.25
5d52e7047c1ce45855d99f47,binance,MOD,Modum,5,5
5d52e7047c1ce45855d99f47,binance,ENJ,Enjin Coin,38,19
5d52e7047c1ce45855d99f47,binance,STORJ,Storj,17,8.5
5d52e7047c1ce45855d99f47,binance,KMD,Komodo,0.004,0.002
5d52e7047c1ce45855d99f47,binance,RCN,Ripio Credit Network,154,77
5d52e7047c1ce45855d99f47,binance,NULS,Nuls,0.02,0.01
5d52e7047c1ce45855d99f47,binance,RDN,Raiden Network Token,13.4,6.7
5d52e7047c1ce45855d99f47,binance,XMR,Monero,0.01,0.0001
5d52e7047c1ce45855d99f47,binance,DLT,Agrello,49.6,24.8
5d52e7047c1ce45855d99f47,binance,AMB,Ambrosus,101.8,50.9
5d52e7047c1ce45855d99f47,binance,BAT,Basic Attention Token,14,7
5d52e7047c1ce45855d99f47,binance,ZEC,Zcash,0.01,0.005
5d52e7047c1ce45855d99f47,binance,BCPT,BlockMason Credit Protocol,1.8,0.9
5d52e7047c1ce45855d99f47,binance,ARN,Aeron,0.4,0.2
5d52e7047c1ce45855d99f47,binance,GVT,Genesis Vision,1.88,0.94
5d52e7047c1ce45855d99f47,binance,CDT,Blox,156,78
5d52e7047c1ce45855d99f47,binance,GXS,GXChain,0.6,0.3
5d52e7047c1ce45855d99f47,binance,POE,Po.et,1100,550
5d52e7047c1ce45855d99f47,binance,QSP,Quantstamp,232,116
5d52e7047c1ce45855d99f47,binance,BTS,BitShares,50,1
5d52e7047c1ce45855d99f47,binance,XZC,Zcoin,0.04,0.02
5d52e7047c1ce45855d99f47,binance,LSK,Lisk,0.2,0.1
5d52e7047c1ce45855d99f47,binance,TNT,Tierion,72,36
5d52e7047c1ce45855d99f47,binance,FUEL,Etherparty,864,432
5d52e7047c1ce45855d99f47,binance,MANA,Decentraland,64,32
5d52e7047c1ce45855d99f47,binance,BCD,Bitcoin Diamond,0.02,0.01
5d52e7047c1ce45855d99f47,binance,DGD,DigixDAO,0.12,0.06
5d52e7047c1ce45855d99f47,binance,ADX,AdEx,28.6,14.3
5d52e7047c1ce45855d99f47,binance,ADA,Cardano,4,1
5d52e7047c1ce45855d99f47,binance,PPT,Populous,3.98,1.99
5d52e7047c1ce45855d99f47,binance,CMT,CyberMiles,2,1
5d52e7047c1ce45855d99f47,binance,XLM,Stellar Lumens,3,0.01
5d52e7047c1ce45855d99f47,binance,CND,Cindicator,328,164
5d52e7047c1ce45855d99f47,binance,LEND,Aave,726,363
5d52e7047c1ce45855d99f47,binance,WABI,TAEL,22.6,11.3
5d52e7047c1ce45855d99f47,binance,SBTC,Super Bitcoin,0.001,0.0005
5d52e7047c1ce45855d99f47,binance,BCX,BitcoinX,0.5,0.5
5d52e7047c1ce45855d99f47,binance,WAVES,Waves,0.004,0.002
5d52e7047c1ce45855d99f47,binance,TNB,Time New Bank,804,402
