
BTC | ETH/BTC > ETC/ETH > ETC/BTC | bittrex > binance > kraken | profit: 1.24231091557715 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | bittrex > kucoin > kraken | profit: 1.0818253628853967 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > binance > kraken | profit: 1.1453523698597508 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > kucoin > kraken | profit: 1.108229905104821 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | bittrex > hitbtc > kraken | profit: 1.0000409338105527 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | kraken > hitbtc > kraken | profit: 1.0076039168422994 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kraken > binance > kraken | profit: 1.22307790520766 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kraken > kucoin > kraken | profit: 1.0626228399699187 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > binance > kraken | profit: 1.251171624310416 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > kucoin > kraken | profit: 1.214010321670699 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > cointiger > kraken | profit: 1.0726569034946465 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | poloniex > binance > kraken | profit: 1.2272509649539813 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | poloniex > kucoin > kraken | profit: 1.0667892847368705 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > bittrex | profit: 1.0285690233748426 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > kraken | profit: 1.0099540761381292 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > poloniex | profit: 1.0696770318559032 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > hitbtc | profit: 1.1412133194739198 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > binance | profit: 1.0755836978060387 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > kucoin | profit: 1.099449014776198 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | poloniex > kraken > cointiger | profit: 1.0099540761381292 %
BTC | BTC/USDC > ETC/USDC > ETC/BTC | poloniex > binance > kraken | profit: 1.1597415350712765 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | poloniex > hitbtc > kraken | profit: 1.01776646494163 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > binance > kraken | profit: 1.3001112172176335 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > kucoin > kraken | profit: 1.262931952721317 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | hitbtc > cointiger > kraken | profit: 1.121510211595222 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | hitbtc > binance > kraken | profit: 1.206302896987097 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | hitbtc > kucoin > kraken | profit: 1.0458744228696446 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > bittrex | profit: 1.03971967338272 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > kraken | profit: 1.0211026715909242 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > poloniex | profit: 1.0808322190062967 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > hitbtc | profit: 1.1523764021741982 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > binance | profit: 1.0867395368825754 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > kucoin | profit: 1.1106074878977097 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | hitbtc > kraken > cointiger | profit: 1.0211026715909242 %
