BTC | ETH/BTC > ETC/ETH > ETC/BTC | bittrex > bittrex > kraken | profit: 0.5350606381782086 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | bittrex > poloniex > kraken | profit: 0.29380156072447505 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | bittrex > hitbtc > kraken | profit: 0.6223844289778953 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | bittrex > binance > kraken | profit: 1.0352612069731464 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | bittrex > kucoin > kraken | profit: 0.9338523341293836 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > bittrex > kraken | profit: 0.5447355550742543 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > poloniex > kraken | profit: 0.8548046912612648 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > hitbtc > kraken | profit: 0.6502289941785477 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > binance > kraken | profit: 1.1080703279623378 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > kucoin > kraken | profit: 1.0695524034721728 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > gateio > kraken | profit: 0.8510576081399819 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | bittrex > cointiger > kraken | profit: 0.823632481747623 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > bittrex | profit: 0.9709600316496392 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > kraken | profit: 0.7966942760996574 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > poloniex | profit: 0.8860002663029576 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > hitbtc | profit: 0.9038614643436063 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > binance | profit: 0.862185335582069 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > kucoin | profit: 0.8919539989831549 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > gateio | profit: 0.7788330780590087 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > livecoin | profit: 0.5228225728096021 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > exmo | profit: 0.8264629395007574 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > cointiger | profit: 0.7788330780590087 %
BTC | ETC/BTC > ETC/ETH > ETH/BTC | bittrex > kraken > coss | profit: 0.8562316029018433 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | bittrex > hitbtc > kraken | profit: 0.8747290471095113 %
BTC | BCH/BTC > ETC/BCH > ETC/BTC | kraken > hitbtc > kraken | profit: 0.9000820505077911 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kraken > bittrex > kraken | profit: 0.6393928947265266 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kraken > poloniex > kraken | profit: 0.3978834458719547 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kraken > hitbtc > kraken | profit: 0.726807307524993 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kraken > binance > kraken | profit: 1.1401125565993908 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | kraken > binance > livecoin | profit: 0.10340106076363043 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | kraken > kucoin > kraken | profit: 1.0385984446831031 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > bittrex > kraken | profit: 0.6529646960781719 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > poloniex > kraken | profit: 0.9633675992802182 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > hitbtc > kraken | profit: 0.7585716912451801 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | poloniex > binance > livecoin | profit: 0.06841388226403922 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > binance > kraken | profit: 1.216905858134524 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > kucoin > kraken | profit: 1.1783464718825485 %
BTC | BTC/USDT > TRX/USDT > TRX/BTC | poloniex > kucoin > livecoin | profit: 0.0747078890495203 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > gateio > kraken | profit: 0.95961648269477 %
BTC | BTC/USDT > ETC/USDT > ETC/BTC | poloniex > cointiger > kraken | profit: 0.9321618351360144 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | poloniex > bittrex > kraken | profit: 0.6147965034393792 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | poloniex > poloniex > kraken | profit: 0.37334607979089185 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | poloniex > hitbtc > kraken | profit: 0.7021895520479688 %
BTC | ETH/BTC > ETC/ETH > ETC/BTC | poloniex > binance > kraken | profit: 1.1153937888116303 %
BTC | ETH/BTC > TRX/ETH > TRX/BTC | poloniex > binance > livecoin | profit: 0.07893566653930861 %
