created_at,symbol,buy_at,sell_at,profit1
2019-08-17T08:37:55.919Z,BCH/USD,kraken,exmo,1.0191
2019-08-17T08:37:55.919Z,BTC/USD,bittrex,yobit,2.8316
2019-08-17T08:37:55.920Z,BTC/USD,kraken,yobit,2.8774
2019-08-17T08:37:55.920Z,BTC/USD,exmo,yobit,1.0389
2019-08-17T08:38:05.921Z,LTC/USD,kraken,livecoin,1.818
2019-08-17T08:38:05.922Z,LTC/USD,kraken,yobit,3.7481
2019-08-17T08:38:45.935Z,BTC/USD,kraken,yobit,2.6458
2019-08-17T08:38:35.927Z,BTC/USD,bittrex,yobit,2.8432
2019-08-17T08:38:35.927Z,BTC/USD,exmo,yobit,1.0503
2019-08-17T08:38:45.935Z,LTC/USD,kraken,yobit,3.7481
2019-08-17T08:38:45.935Z,LTC/USD,kraken,livecoin,1.818
2019-08-17T08:38:45.936Z,BTC/USD,bittrex,yobit,2.8325
2019-08-17T08:38:45.936Z,BTC/USD,exmo,yobit,1.0522
2019-08-17T08:39:15.940Z,BTC/USD,bittrex,yobit,2.8374
2019-08-17T08:39:25.933Z,BTC/USD,kraken,yobit,2.8712
2019-08-17T08:39:15.941Z,BTC/USD,exmo,yobit,1.0598
2019-08-17T08:39:25.933Z,LTC/USD,kraken,yobit,3.6361
2019-08-17T08:39:25.933Z,LTC/USD,kraken,livecoin,1.7082
2019-08-17T08:39:35.934Z,BTC/USD,bittrex,yobit,2.8423
2019-08-17T08:39:35.934Z,BTC/USD,exmo,yobit,1.0598
2019-08-17T08:39:45.948Z,BTC/USD,bittrex,yobit,2.9297
2019-08-17T08:39:55.950Z,BTC/USD,kraken,yobit,2.9554
2019-08-17T08:39:45.948Z,BTC/USD,exmo,yobit,1.0598
2019-08-17T08:40:25.991Z,BTC/USD,bittrex,yobit,2.9576
2019-08-17T08:40:55.949Z,BTC/USD,bittrex,yobit,2.7435
2019-08-17T08:40:55.949Z,LTC/USD,kraken,exmo,1.0216
2019-08-17T08:41:15.948Z,BTC/USD,bittrex,yobit,2.9262
2019-08-17T08:41:25.969Z,LTC/USD,kraken,exmo,1.1173
2019-08-17T08:41:45.972Z,BTC/USD,bittrex,yobit,2.9249
2019-08-17T08:41:55.958Z,LTC/USD,kraken,exmo,1.0189
2019-08-17T08:42:15.966Z,BTC/USD,bittrex,yobit,2.8537
2019-08-17T08:42:25.976Z,LTC/USD,kraken,exmo,1.0194
2019-08-17T08:42:35.964Z,BTC/USD,bittrex,yobit,2.8515
2019-08-17T08:42:45.974Z,BTC/USD,bittrex,yobit,2.8575
2019-08-17T08:42:55.971Z,LTC/USD,kraken,exmo,1.0888
2019-08-17T08:43:05.970Z,BTC/USD,bittrex,yobit,3.0631
2019-08-17T08:43:05.970Z,ETH/USD,bittrex,exmo,1.0767
2019-08-17T08:43:15.978Z,LTC/USD,kraken,yobit,4.029
2019-08-17T08:43:15.978Z,XLM/USD,kraken,exmo,1.2333
2019-08-17T08:43:35.971Z,ETH/USD,bittrex,exmo,1.0494
2019-08-17T08:43:45.983Z,LTC/USD,kraken,exmo,1.0888
2019-08-17T08:43:55.978Z,BTC/USD,kraken,yobit,3.0834
2019-08-17T08:43:45.983Z,ETH/USD,bittrex,exmo,1.0833
2019-08-17T08:43:55.979Z,LTC/USD,kraken,yobit,3.9586
2019-08-17T08:44:25.979Z,BTC/USD,kraken,yobit,3.1192
2019-08-17T08:44:25.979Z,LTC/USD,kraken,yobit,3.9586
2019-08-17T08:44:55.978Z,LTC/USD,exmo,yobit,1.6375
2019-08-17T08:44:55.978Z,LTC/USD,kraken,yobit,3.9727
