created_at,base,ticket1,ticket2,ticket3,exchange1,exchange2,exchange3,profit
2019-08-14T09:25:25.925Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,binance,livecoin,1.6111
2019-08-14T09:25:25.934Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,binance,livecoin,1.5184
2019-08-14T09:25:25.935Z,USD,BTC/USD,DASH/BTC,DASH/USD,bittrex,binance,livecoin,1.0773
2019-08-14T09:25:25.936Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,binance,livecoin,2.8296
2019-08-14T09:25:25.937Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,okex,livecoin,1.4802
2019-08-14T09:25:25.938Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,okex,livecoin,1.494
2019-08-14T09:25:25.938Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,okex,livecoin,2.6768
2019-08-14T09:25:25.940Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,bittrex,livecoin,1.2806
2019-08-14T09:25:25.940Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,bittrex,livecoin,1.1937
2019-08-14T09:25:25.941Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,bittrex,livecoin,2.3119
2019-08-14T09:25:25.942Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,bitfinex,livecoin,1.5567
2019-08-14T09:25:25.941Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,bitfinex,livecoin,1.3482
2019-08-14T09:25:25.943Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,bitfinex,livecoin,2.5958
2019-08-14T09:25:25.944Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,kucoin,livecoin,1.4804
2019-08-14T09:25:25.945Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,kucoin,livecoin,2.6082
2019-08-14T09:25:25.946Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,kucoin,livecoin,1.57
2019-08-14T09:25:25.947Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,hitbtc,livecoin,1.4026
2019-08-14T09:25:25.949Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,hitbtc,livecoin,2.5771
2019-08-14T09:25:25.947Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,hitbtc,livecoin,1.2482
2019-08-14T09:25:25.949Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,kraken,livecoin,2.4506
2019-08-14T09:25:25.951Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,kraken,livecoin,1.32
2019-08-14T09:25:25.950Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,kraken,livecoin,1.3217
2019-08-14T09:25:25.952Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,poloniex,livecoin,1.3423
2019-08-14T09:25:25.951Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,poloniex,livecoin,1.2327
2019-08-14T09:25:25.954Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,gateio,livecoin,1.495
2019-08-14T09:25:25.953Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,poloniex,livecoin,2.4385
2019-08-14T09:25:25.955Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,gateio,livecoin,2.3254
2019-08-14T09:25:25.954Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,gateio,livecoin,1.1258
2019-08-14T09:25:25.957Z,USD,BTC/USD,BCH/BTC,BCH/USD,bittrex,livecoin,livecoin,2.3354
2019-08-14T09:25:25.956Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,livecoin,livecoin,1.3298
2019-08-14T09:25:25.957Z,USD,BTC/USD,XTZ/BTC,XTZ/USD,bittrex,livecoin,bitfinex,2.942
2019-08-14T09:25:25.957Z,USD,BTC/USD,XTZ/BTC,XTZ/USD,bittrex,livecoin,kraken,2.5337
2019-08-14T09:25:25.959Z,USD,BTC/USD,LTC/BTC,LTC/USD,bittrex,zb,livecoin,1.3532
2019-08-14T09:25:25.958Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,zb,livecoin,1.4334
2019-08-14T09:25:25.971Z,USD,BTC/USD,ETH/BTC,ETH/USD,bittrex,exmo,livecoin,1.5054
2019-08-14T09:25:25.959Z,USD,BTC/USD,DASH/BTC,DASH/USD,bittrex,zb,livecoin,1.1893
