opp_created_at,ord_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent
2019-09-05T15:54:54.099Z,2019-09-05T15:54:55.365Z,ETC/ETH,ETC,ETH,bittrex,kraken,82.46291448190607,3.3911043483462433,0.003391104348346243,0.1,91.351,3.7467612650000004,0.0043143941957577425,0.11514996261064801
2019-09-05T15:55:24.159Z,2019-09-05T15:55:25.369Z,ETC/ETH,ETC,ETH,binance,kraken,30.141919962886707,1.2365305394990045,0.0012365305394990045,0.1,45.923,1.881419387,0.00470410363053264,0.25002950767045756
2019-09-05T15:55:24.159Z,2019-09-05T15:55:28.068Z,ETC/ETH,ETC,ETH,okex,kraken,31.917172075955452,1.3096519879337956,0.0013096519879337955,0.1,45.923,1.88146531,0.004082540708798765,0.21698729639606085
2019-09-05T15:57:24.154Z,2019-09-05T15:57:28.059Z,ETC/ETH,ETC,ETH,okex,kraken,31.35376391401359,1.2874765352774735,0.0012874765352774735,0.1,45.886,1.8813260000000003,0.00420661233385311,0.22359826706552238
2019-09-05T15:57:54.157Z,2019-09-05T15:57:55.706Z,ETC/ETH,ETC,ETH,bittrex,kraken,113.02241287328087,4.654939920864687,0.004654939920864688,0.1,665.96984461,27.35763497497359,0.053756084957306875,0.19649390382787932
2019-09-05T15:59:24.124Z,2019-09-05T15:59:28.993Z,ETC/ETH,ETC,ETH,okex,kraken,26.713685256838836,1.0969475168056007,0.0010969475168056007,0.1,67.58653,2.77104773,0.010464785867518867,0.37764726151140193
2019-09-05T16:01:24.160Z,2019-09-05T16:01:25.432Z,ETC/ETH,ETC,ETH,binance,kraken,22.200263664758634,0.9091756980046444,0.0009091756980046443,0.1,45.935,1.8784658900000002,0.007648514544937201,0.40716813574598365
2019-09-05T16:01:24.163Z,2019-09-05T16:01:28.073Z,ETC/ETH,ETC,ETH,okex,kraken,18.17889410420333,0.7435822485885468,0.0007435822485885469,0.1,45.935,1.8759854000000002,0.00955327048310539,0.5092401296462856
2019-09-05T16:02:24.136Z,2019-09-05T16:02:34.447Z,ETC/ETH,ETC,ETH,hitbtc,kraken,61.72469519572757,2.538080479672182,0.002538080479672182,0.1,144.122,5.9141615676,0.01267473311900602,0.21431158033360084
2019-09-05T16:03:24.163Z,2019-09-05T16:03:28.082Z,ETC/ETH,ETC,ETH,binance,kraken,26.338945640869706,1.080649650448162,0.001080649650448162,0.1,71.5,2.929498,0.012189729867299269,0.41610302745723904
2019-09-05T16:05:24.191Z,2019-09-05T16:05:32.077Z,ETC/ETH,ETC,ETH,okex,kraken,29.359699333315465,1.2058911163337678,0.0012058911163337679,0.1,45.863,1.88084163,0.0047025039146546535,0.25002125854980434
2019-09-05T16:05:39.180Z,2019-09-05T16:05:43.414Z,ETC/ETH,ETC,ETH,binance,kraken,31.603941691600888,1.2985766739888314,0.0012985766739888314,0.1,45.858,1.88178303,0.004312774009396669,0.22918550867135143
2019-09-05T16:10:39.188Z,2019-09-05T16:10:41.021Z,ETC/ETH,ETC,ETH,hitbtc,kraken,50.16517858259089,2.062574787740634,0.002062574787740634,0.1,98.7,4.04983866,0.008946773472159997,0.22091678763716474
2019-09-05T16:11:24.172Z,2019-09-05T16:11:25.447Z,ETC/ETH,ETC,ETH,binance,kraken,31.04181378973242,1.2748028418000958,0.0012748028418000958,0.1,75.13,3.08130669,0.010751553866425123,0.3489283913645455
2019-09-05T16:15:24.214Z,2019-09-05T16:15:32.046Z,ETC/ETH,ETC,ETH,okex,kraken,27.70082942348505,1.1360940559756763,0.0011360940559756762,0.1,45.422,1.8600309,0.00507238412246358,0.27270429337832935
2019-09-05T16:15:39.172Z,2019-09-05T16:15:41.053Z,ETC/ETH,ETC,ETH,binance,kraken,25.700643501967793,1.053879019781861,0.001053879019781861,0.1,45.911,1.880009539,0.006122774665841657,0.3256778510335876
2019-09-05T16:16:54.218Z,2019-09-05T16:17:01.416Z,ETC/ETH,ETC,ETH,bittrex,kraken,64.21128271911262,2.641232396367647,0.0026412323963676473,0.1,144.122,5.91249551728,0.012616105646481302,0.21338038413068003
2019-09-05T16:17:24.188Z,2019-09-05T16:17:37.317Z,ETC/ETH,ETC,ETH,okex,kraken,19.687970660135623,0.8064886329489703,0.0008064886329489703,0.1,90.86152,3.716236168,0.021904700015469736,0.5894323994822531
2019-09-05T16:17:24.188Z,2019-09-05T16:17:40.451Z,ETC/ETH,ETC,ETH,kucoin,kraken,24.655735451194985,1.0113198439248716,0.0010113198439248717,0.1,45.888,1.87957248,0.006526486860547465,0.3472325185644059
2019-09-05T16:18:54.209Z,2019-09-05T16:18:56.060Z,ETC/ETH,ETC,ETH,bittrex,kraken,33.23953424804395,1.3657752018631888,0.0013657752018631888,0.1,98.7,4.044117021000001,0.01465884999940048,0.36247343791688164
2019-09-05T16:18:54.211Z,2019-09-05T16:18:58.126Z,ETC/ETH,ETC,ETH,gateio,kraken,30.193552049587826,1.2401614788457014,0.0012401614788457014,0.1,98.7,4.0445286000000005,0.01628445830511982,0.4026293275592072
2019-09-05T16:19:24.188Z,2019-09-05T16:19:34.127Z,ETC/ETH,ETC,ETH,okex,kraken,27.66956892152519,1.1337035298744071,0.0011337035298744072,0.1,45.422,1.85821402,0.005079866140631717,0.2733735773143998
2019-09-05T16:20:24.216Z,2019-09-05T16:20:28.439Z,ETC/ETH,ETC,ETH,hitbtc,kraken,40.72034506219124,1.6709504368118988,0.0016709504368118988,0.1,45.422,1.8600626954,0.0024352704298864496,0.13092410465028723
2019-09-05T16:20:54.299Z,2019-09-05T16:20:55.432Z,ETC/ETH,ETC,ETH,bittrex,kraken,39.64332767887971,1.62686015551638,0.00162686015551638,0.1,45.952,1.8805630835199998,0.0027245519682563835,0.14487958378703375
2019-09-05T16:21:24.212Z,2019-09-05T16:21:25.438Z,ETC/ETH,ETC,ETH,binance,kraken,18.927008768632156,0.7742563795343148,0.0007742563795343149,0.1,45.943,1.8765418349999998,0.009581621932376327,0.5105999639158766
2019-09-05T16:21:24.212Z,2019-09-05T16:21:28.130Z,ETC/ETH,ETC,ETH,okex,kraken,17.36065812879175,0.7097675361214615,0.0007097675361214615,0.1,27.98343,1.1422836126,0.00421428306261773,0.36893491389808364
2019-09-05T16:22:24.321Z,2019-09-05T16:22:26.829Z,ETC/ETH,ETC,ETH,hitbtc,kraken,34.71981545069807,1.424572071769367,0.0014245720717693672,0.1,45.422,1.8598537541999998,0.0034128037331913053,0.18349849957204262
2019-09-05T16:23:09.212Z,2019-09-05T16:23:10.464Z,ETC/ETH,ETC,ETH,bittrex,kraken,49.150428743710485,2.0179111587437735,0.0020179111587437736,0.1,98.7,4.0412566949999995,0.009467817600300243,0.23427904522902981
2019-09-05T16:23:24.395Z,2019-09-05T16:23:31.139Z,ETC/ETH,ETC,ETH,okex,kraken,22.992664535866357,0.9413930958700217,0.0009413930958700218,0.1,45.955,1.8786403999999999,0.00689764109877089,0.3671613310759681
2019-09-05T16:24:54.204Z,2019-09-05T16:25:01.474Z,ETC/ETH,ETC,ETH,gateio,kraken,44.97491344393519,1.8474916305877471,0.001847491630587747,0.1,158.655,6.5027924850000005,0.0201406940920279,0.3097237708028737
2019-09-05T16:25:24.198Z,2019-09-05T16:25:25.470Z,ETC/ETH,ETC,ETH,binance,kraken,23.77543210794972,0.9745360576681582,0.0009745360576681582,0.1,45.422,1.859167882,0.006772260249425788,0.3642629756566432
2019-09-05T16:25:24.198Z,2019-09-05T16:25:28.147Z,ETC/ETH,ETC,ETH,okex,kraken,20.317027258199,0.832052212907118,0.0008320522129071179,0.1,45.422,1.85730558,0.008069113819738627,0.43445267739617877
2019-09-05T16:26:54.237Z,2019-09-05T16:26:59.054Z,ETC/ETH,ETC,ETH,bittrex,kraken,87.69700401596977,3.604302404123222,0.003604302404123222,0.1,144.659,5.929871854129999,0.00942178923546777,0.15888689447657697
2019-09-05T16:27:39.245Z,2019-09-05T16:27:52.164Z,ETC/ETH,ETC,ETH,okex,kraken,21.427921798522313,0.877115707466807,0.0008771157074668071,0.1,45.948,1.8778947599999998,0.0076298553093181445,0.4062983438602356
2019-09-05T16:28:54.396Z,2019-09-05T16:28:56.101Z,ETC/ETH,ETC,ETH,bittrex,kraken,40.53202429180887,1.6640881322997534,0.0016640881322997534,0.1,91.356,3.74042433684,0.010493406916191717,0.28054054757479197
2019-09-05T16:29:24.256Z,2019-09-05T16:29:37.482Z,ETC/ETH,ETC,ETH,binance,kraken,21.49334367041499,0.88008729995221,0.0008800872999522101,0.1,31.03,1.2687236100000001,0.003658690564383838,0.28837569787038464
2019-09-05T16:29:24.257Z,2019-09-05T16:29:40.166Z,ETC/ETH,ETC,ETH,okex,kraken,22.190276167005674,0.908764429112531,0.0009087644291125309,0.1,74.46043,3.0446869827000005,0.01489336216084203,0.48915905790863046
2019-09-05T16:30:24.317Z,2019-09-05T16:30:26.836Z,ETC/ETH,ETC,ETH,hitbtc,kraken,42.75597514884119,1.7556690226821532,0.0017556690226821533,0.1,91.356,3.743631846,0.009498534288793437,0.25372511719982405
2019-09-05T16:30:54.237Z,2019-09-05T16:30:55.533Z,ETC/ETH,ETC,ETH,bittrex,kraken,37.745014731637745,1.549320840469699,0.001549320840469699,0.1,91.356,3.73952722092,0.011390522836191685,0.30459793881081537
2019-09-05T16:31:24.255Z,2019-09-05T16:31:25.492Z,ETC/ETH,ETC,ETH,binance,kraken,18.996372715655532,0.7772636145399311,0.0007772636145399311,0.1,59.92,2.44797168,0.014081367563775874,0.5752259178004817
2019-09-05T16:31:24.256Z,2019-09-05T16:31:28.174Z,ETC/ETH,ETC,ETH,okex,kraken,18.790677893330844,0.7687932317902503,0.0007687932317902503,0.1,83.3684,3.4055991399999996,0.020695970040497613,0.6077042302899341
2019-09-05T16:32:39.259Z,2019-09-05T16:32:40.490Z,ETC/ETH,ETC,ETH,hitbtc,kraken,36.16416714876612,1.484222536368035,0.0014842225363680352,0.1,45.934,1.8813142445999997,0.003241080160230281,0.17227744750954094
2019-09-05T16:32:54.259Z,2019-09-05T16:32:55.677Z,ETC/ETH,ETC,ETH,bittrex,kraken,33.84896843126751,1.3889515712433553,0.0013889515712433554,0.1,45.932,1.8794970198400003,0.003790969386139764,0.20170127146370712
2019-09-05T16:33:24.232Z,2019-09-05T16:33:31.496Z,ETC/ETH,ETC,ETH,binance,kraken,17.57686027452345,0.7190191533457071,0.0007190191533457071,0.1,39.59,1.61697437,0.008376217971560296,0.5180179801835879
2019-09-05T16:33:24.232Z,2019-09-05T16:33:34.177Z,ETC/ETH,ETC,ETH,okex,kraken,18.052388576634314,0.7385888065653597,0.0007385888065653597,0.1,45.422,1.8554886999999998,0.009478879273826513,0.5108562112949819
2019-09-05T16:34:24.251Z,2019-09-05T16:34:32.124Z,ETC/ETH,ETC,ETH,hitbtc,kraken,30.346433596213974,1.2454078788472782,0.0012454078788472782,0.1,45.422,1.8602534678,0.004369429139023273,0.23488353682203914
2019-09-05T16:34:54.242Z,2019-09-05T16:35:04.544Z,ETC/ETH,ETC,ETH,bittrex,kraken,28.813130265703542,1.1823727698111803,0.0011823727698111804,0.1,45.901,1.8782280681100003,0.005063619480327297,0.2695955601080252
2019-09-05T16:34:54.242Z,2019-09-05T16:35:07.201Z,ETC/ETH,ETC,ETH,poloniex,kraken,35.153261732269605,1.4436448954710546,0.0014436448954710545,0.1,45.901,1.8797767678500001,0.0035149197403274712,0.18698601878922413
2019-09-05T16:34:54.245Z,2019-09-05T16:35:10.472Z,ETC/ETH,ETC,ETH,gateio,kraken,29.026105949744096,1.191120418419362,0.001191120418419362,0.1,45.422,1.8595766799999998,0.004897066365401104,0.26334307254278455
2019-09-05T16:35:24.242Z,2019-09-05T16:35:32.100Z,ETC/ETH,ETC,ETH,binance,kraken,15.600007732379684,0.6379008565231914,0.0006379008565231914,0.1,20.33,0.82995192,0.002459485886879831,0.2963407671711671
2019-09-05T16:35:24.242Z,2019-09-05T16:35:34.182Z,ETC/ETH,ETC,ETH,okex,kraken,14.813762950823302,0.6054987241092628,0.0006054987241092628,0.1,45.583,1.8602422299999999,0.012306967448232342,0.6615787583874141
2019-09-05T16:36:24.267Z,2019-09-05T16:36:31.501Z,ETC/ETH,ETC,ETH,hitbtc,kraken,23.17777049525402,0.9502823306582384,0.0009502823306582384,0.1,45.894,1.8777162948,0.006838026448162893,0.36416717834848567
2019-09-05T16:36:54.242Z,2019-09-05T16:37:07.662Z,ETC/ETH,ETC,ETH,bittrex,kraken,20.165185621069224,0.8261179269840456,0.0008261179269840456,0.1,45.894,1.8745340048399999,0.008743552938604182,0.4664387477649671
2019-09-05T16:36:54.242Z,2019-09-05T16:37:10.196Z,ETC/ETH,ETC,ETH,poloniex,kraken,32.72628784912372,1.3438267493982181,0.0013438267493982182,0.1,45.894,1.87924181136,0.004035746418604047,0.21475397121370948
2019-09-05T16:37:24.255Z,2019-09-05T16:37:28.189Z,ETC/BTC,ETC,BTC,binance,kraken,64.006363373675,0.04254941469481502,4.254941469481502e-05,0.1,68.761,0.045657303999999996,8.266999555500004e-05,0.1810663099052017
2019-09-05T16:37:24.261Z,2019-09-05T16:37:31.498Z,ETC/ETH,ETC,ETH,binance,kraken,12.974254766170132,0.5297419977573196,0.0005297419977573196,0.1,20.33,0.82861014,0.0038822534503117905,0.46852594035498896
2019-09-05T16:37:39.340Z,2019-09-05T16:37:40.548Z,ETC/ETH,ETC,ETH,okex,kraken,12.162709036538619,0.496293947069187,0.000496293947069187,0.1,45.894,1.86972156,0.015820729542522338,0.8461543088010569
2019-09-05T16:38:24.254Z,2019-09-05T16:38:31.495Z,ETC/ETH,ETC,ETH,hitbtc,kraken,17.690531762130263,0.7241244783253282,0.0007241244783253283,0.1,20.442,0.8349821088,0.0016130739350176393,0.19318664651819653
