opp_created_at,ord_created_at,symbol,base,quote,buy_at,sell_at,invest.min.base,invest.min.quote,invest.min.profit,invest.min.profit_percent,invest.max.base,invest.max.quote,invest.max.profit,invest.max.profit_percent,profit_loop_percent
2019-09-08T11:05:55.505Z,,BTC/USDT,BTC,USDT,binance,livecoin,9.690748823543092e-11,1e-06,1e-09,0.1,0.00577169,59.558761712800006,0.16600821053823778,0.27873012427415916,-0.3089
2019-09-08T11:05:55.540Z,,BTC/USDT,BTC,USDT,bittrex,livecoin,2.458735576750648e-08,0.00025334,2.5334e-07,0.1,0.00577169,59.469589102069136,0.16606561022673322,0.2792445899394238,-0.33
2019-09-08T11:05:58.476Z,,BTC/USDT,BTC,USDT,kucoin,livecoin,9.697722005101003e-10,1e-05,1e-08,0.1,0.00577169,59.51593577300001,0.20887697627803514,0.3509597447559486,-0.3566
2019-09-08T11:06:19.997Z,,BTC/USDT,BTC,USDT,poloniex,livecoin,9.70873786407767e-11,1e-06,1e-09,0.1,0.00577169,59.448407,0.18730066755103905,0.3150642330097071,-0.2776
2019-09-08T11:06:20.975Z,,BTC/USDT,BTC,USDT,gateio,livecoin,9.691500166693804e-09,0.0001,1.0000000000000001e-07,0.1,0.00577169,59.5541443608,0.11107603552943456,0.18651268811200908,-0.9562
2019-09-08T11:06:21.782Z,,XLM/USDT,XLM,USDT,kucoin,poloniex,1.6561775422325273,0.1,0.0001,0.1,300.4929,18.143761302,0.03463525488102625,0.19089346637958898,-0.7812
2019-09-08T11:06:25.979Z,,BTC/USDT,BTC,USDT,exmo,livecoin,9.69267787789445e-09,0.0001,1.0000000000000001e-07,0.1,0.00171038,17.6461038068826,0.035064865477715555,0.1987116581737382,-0.42
2019-09-08T11:06:26.780Z,,XLM/USDT,XLM,USDT,binance,poloniex,1.656451880072884,0.1,0.0001,0.1,457.41329611,27.6140406861607,0.05730083828831055,0.20750617028324997,-0.8758
2019-09-08T11:06:34.390Z,,BTC/USDT,BTC,USDT,bitfinex,livecoin,3.877096055054764e-08,0.0004,4.0000000000000003e-07,0.1,0.00577169,59.546525730000006,0.1187099035910294,0.19935655713868528,-0.3931
2019-09-08T11:06:40.713Z,,ADA/USDT,ADA,USDT,binance,kucoin,2.162629757785467,0.1,0.0001,0.1,1.7333,0.08014779200000001,0.00015658112209999175,0.1953654844290554,-0.3962
2019-09-08T11:07:26.925Z,,BTC/USDT,BTC,USDT,binance,livecoin,9.688260831233401e-11,1e-06,1e-09,0.1,0.0055286,57.064937622,0.14435089459559552,0.2529589983113283,-0.4419
2019-09-08T11:07:27.581Z,,BTC/USDT,BTC,USDT,kucoin,livecoin,9.68766953421685e-10,1e-05,1e-08,0.1,0.0055286,57.06842064,0.14086439357759517,0.246834224598922,-0.4061
2019-09-08T11:07:38.349Z,,BTC/USDT,BTC,USDT,gateio,livecoin,9.687509990244678e-09,0.0001,1.0000000000000001e-07,0.1,0.0055286,57.069360501999995,0.08285423121359928,0.14518163596856085,-1.017
2019-09-08T11:08:57.861Z,,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0008512153040208244,0.00211199,2.11199e-06,0.1,0.0028,0.00694721062,4.548427345000132e-05,0.6547127464231295,0.4484
2019-09-08T11:09:21.062Z,,XTZ/BTC,XTZ,BTC,gateio,kraken,0.9737098344693281,0.0001,1.0000000000000001e-07,0.1,156.106,0.0160320862,3.52424905600004e-05,0.21982473222979804,-0.1944
2019-09-08T11:10:48.042Z,,ETH/USDT,ETH,USDT,exmo,kucoin,5.628753794621909e-06,0.001,1e-06,0.1,0.00100034,0.17771962258427298,0.0004269882397584749,0.24025947925699712,-0.5007
2019-09-08T11:11:03.141Z,,ETH/USDT,ETH,USDT,exmo,gateio,5.628753794621909e-06,0.001,1e-06,0.1,0.00100034,0.17771962258427298,0.0001983905429584701,0.11163119754229456,-0.3784
2019-09-08T11:12:43.300Z,,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0008512153040208244,0.00211199,2.11199e-06,0.1,0.0021,0.005210407964999999,4.0197115087499875e-05,0.7714773076794934,0.5689
2019-09-08T11:15:09.340Z,,XTZ/USDT,XTZ,USDT,gateio,kucoin,9.508414947228297e-05,0.0001,1.0000000000000001e-07,0.1,0.0009,0.00094653,3.7238399999999404e-06,0.3934201768565117,-0.1183
2019-09-08T11:15:19.433Z,,ATOM/USDT,ATOM,USDT,poloniex,kucoin,4.27990923082905e-07,1e-06,1e-09,0.1,0.03802239,0.08883924389357852,0.00013734845525054242,0.15460335909102696,-0.2611
2019-09-08T11:15:24.428Z,,ATOM/USDT,ATOM,USDT,poloniex,binance,4.2918454935622317e-07,1e-06,1e-09,0.1,2.00176409,4.6641103297,0.017671573386519587,0.378884120171665,0.2473
2019-09-08T11:16:08.722Z,,XTZ/USDT,XTZ,USDT,gateio,kucoin,9.508414947228297e-05,0.0001,1.0000000000000001e-07,0.1,0.0009,0.00094653,3.7238399999999404e-06,0.3934201768565117,-0.1183
2019-09-08T11:16:11.935Z,,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0008512153040208244,0.00211199,2.11199e-06,0.1,0.0021,0.005210407964999999,4.0197115087499875e-05,0.7714773076794934,0.5689
2019-09-08T11:20:07.136Z,,ETH/USDT,ETH,USDT,exmo,kucoin,5.614735239923896e-06,0.001,1e-06,0.1,0.08335334,14.845462241444851,0.016018548480057845,0.10790198526347011,-0.577
2019-09-08T11:20:07.458Z,,BCH/USDT,BCH,USDT,bittrex,kucoin,3.0210756427765074e-05,0.00898604,8.986040000000001e-06,0.1,0.01293776,3.848272688847752,0.0046897558541288305,0.12186651605328508,-0.4022
2019-09-08T11:20:52.198Z,,ETH/USDT,ETH,USDT,exmo,gateio,5.614735239923896e-06,0.001,1e-06,0.1,0.02022281,3.6017388417898237,0.003902728190396323,0.10835677881789252,-0.2983
2019-09-08T11:21:37.298Z,,BCH/USDT,BCH,USDT,bittrex,binance,3.0210756427765074e-05,0.00898604,8.986040000000001e-06,0.1,0.01293776,3.848272688847752,0.009213443638128243,0.23941763962903906,0.0515
2019-09-08T11:21:38.797Z,,BCH/USDT,BCH,USDT,bittrex,kucoin,3.0210756427765074e-05,0.00898604,8.986040000000001e-06,0.1,0.01293776,3.848272688847752,0.007791713191728227,0.20247300079093972,-0.352
2019-09-08T11:22:08.150Z,,ATOM/USDT,ATOM,USDT,poloniex,binance,4.27990923082905e-07,1e-06,1e-09,0.1,1.30783146,3.055745786801799,0.0069453758001965064,0.2272890575582096,0.0108
2019-09-08T11:22:09.177Z,,ATOM/USDT,ATOM,USDT,poloniex,kucoin,4.27990923082905e-07,1e-06,1e-09,0.1,1.30783146,3.055745786801799,0.0059001568973647295,0.19308402298543115,-0.3293
2019-09-08T11:32:47.143Z,,ATOM/BTC,ATOM,BTC,poloniex,binance,0.0043871194173905415,1e-06,1e-09,0.1,2,0.00045588,1.3215000000000118e-06,0.2898789155040826,-0.2115
2019-09-08T11:32:48.141Z,,ATOM/BTC,ATOM,BTC,poloniex,kucoin,0.0043871194173905415,1e-06,1e-09,0.1,2,0.00045588,8.21999999999987e-07,0.1803106080547484,-0.2727
2019-09-08T11:33:37.163Z,,ATOM/USDT,ATOM,USDT,poloniex,binance,4.237428994196862e-07,1e-06,1e-09,0.1,1.18714495,2.8015689504786727,0.012820745359080643,0.4576273361714016,0.3259
2019-09-08T11:33:38.191Z,,ATOM/USDT,ATOM,USDT,poloniex,kucoin,4.237428994196862e-07,1e-06,1e-09,0.1,1.18714495,2.8015689504786727,0.011871979115040935,0.42376180364979066,-0.0779
2019-09-08T11:34:42.199Z,,ATOM/USDT,ATOM,USDT,poloniex,gateio,4.2163472716849533e-07,1e-06,1e-09,0.1,21.08173628,49.99999981399832,0.36997492432268686,0.739949851398012,-0.1082
2019-09-08T11:37:07.581Z,,MKR/ETH,MKR,ETH,bittrex,kucoin,0.0008512153040208244,0.00211199,2.11199e-06,0.1,0.002,0.0049622933,1.5106166750000591e-05,0.3044190626539667,0.099
2019-09-08T11:37:53.531Z,,ATOM/BTC,ATOM,BTC,poloniex,gateio,0.004267303917384996,1e-06,1e-09,0.1,6,0.0014060400000000001,1.19960999999998e-05,0.853183408722355,-0.8293
2019-09-08T11:37:54.218Z,,ATOM/BTC,ATOM,BTC,poloniex,kraken,0.004267303917384996,1e-06,1e-09,0.1,8.13041861,0.0019052822970673999,9.420959955965323e-06,0.4944653068191529,-0.1348
2019-09-08T11:38:07.798Z,,ATOM/USDT,ATOM,USDT,poloniex,binance,4.069875629566009e-07,1e-06,1e-09,0.1,0.8737,2.1467486466979997,0.0028926163852551643,0.1347440646907785,0.0038
2019-09-08T11:38:47.772Z,,ATOM/USDT,ATOM,USDT,bittrex,kucoin,0.34592916591233985,0.85246747,0.0008524674700000001,0.1,0.34989276,0.8622348887578356,0.0010776633065098058,0.12498488759395059,-0.376
2019-09-08T11:39:02.194Z,,BSV/BTC,BSV,BTC,poloniex,kucoin,7.779588693145793e-05,1e-06,1e-09,0.1,0.07725289,0.0009930202359935,3.1499576199162356e-06,0.31720981161725836,-0.2049
2019-09-08T11:39:18.220Z,,ATOM/BTC,ATOM,BTC,poloniex,binance,0.004166666666666667,1e-06,1e-09,0.1,477.35836454,0.11456600748960001,0.0003620285836671324,0.31599999999999684,-0.1854
