created_at,base,exchange,ticket1,ticket2,ticket3,profit
2019-08-20T17:17:59.906Z,BTC,zb,BTC/USDT,XEM/USDT,XEM/BTC,0.0705
2019-08-20T18:40:12.112Z,BTC,gateio,BTC/USDT,USDC/USDT,BTC/USDC,106.4184
2019-08-20T20:15:20.132Z,BTC,coinex,BTC/USDT,USDC/USDT,BTC/USDC,107.063
2019-08-20T20:15:20.136Z,BTC,coinex,BCH/BTC,BCH/USDC,BTC/USDC,102.5909
2019-08-20T20:16:01.806Z,ETH,coinex,ETH/BCH,BCH/USDT,ETH/USDT,0.0876
2019-08-20T20:16:01.807Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.1463
2019-08-20T20:16:45.911Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0704
2019-08-20T20:16:55.471Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0685
2019-08-20T20:18:18.232Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0557
2019-08-20T20:18:50.721Z,BTC,kucoin,XTZ/BTC,XTZ/USDT,BTC/USDT,0.0794
2019-08-20T20:26:06.245Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0652
2019-08-20T20:26:33.235Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0993
2019-08-20T20:27:04.569Z,ETH,coinex,EOS/ETH,EOS/BCH,ETH/BCH,0.0814
2019-08-20T20:27:36.065Z,ETH,coinex,EOS/ETH,EOS/BCH,ETH/BCH,0.0979
2019-08-20T20:27:48.558Z,ETH,coinex,EOS/ETH,EOS/BCH,ETH/BCH,0.1032
2019-08-20T20:28:07.094Z,ETH,coinex,EOS/ETH,EOS/USDT,ETH/USDT,0.0669
2019-08-20T20:28:07.095Z,ETH,coinex,EOS/ETH,EOS/BCH,ETH/BCH,0.0883
2019-08-20T20:28:18.876Z,ETH,coinex,EOS/ETH,EOS/BCH,ETH/BCH,0.0646
2019-08-20T20:28:20.671Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0819
2019-08-20T20:28:33.771Z,ETH,coinex,EOS/ETH,EOS/BCH,ETH/BCH,0.0646
2019-08-20T20:28:33.880Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0954
2019-08-20T20:28:51.753Z,BTC,zb,XEM/BTC,XEM/USDT,BTC/USDT,0.0955
